   Current data set:
   NAME =	1_tri-O-acetyl-guanosine	EXPNO =	6	PROCNO = 1
   DU   =	/Users/lukas/Desktop/Studium/Chemie/OC/LAB/Spektren/Tri-Acetyl-Guanosine

   Number   Integrated Region     Integral
     1    170.607    170.486         0.66973
     2    170.007    169.860         0.67759
     3    169.807    169.686         0.66430
     4    157.635    156.624         0.70481
     5    154.905    153.995         0.91719
     6    152.175    151.164         0.56783
     7    136.907    134.986         1.11088
     8    117.898    116.685         0.53225
     9     85.270     84.562         1.26406
    10     80.367     79.713         1.31624
    11     72.739     72.248         1.32726
    12     71.050     70.505         1.34396
    13     63.803     63.258         1.32983
    14     21.063     20.938         1.22939
    15     20.886     20.772         1.17626
    16     20.699     20.590         1.16844
