   Current data set:
   NAME =	2_tri-O-acetyl-6-chloropurine	EXPNO =	6	PROCNO = 1
   DU   =	/Users/lukas/Desktop/Studium/Chemie/OC/LAB/Spektren/Tri-Acetyl-Guanosine

   Number   Integrated Region     Integral
     1    170.600    170.488         0.67999
     2    169.977    169.842         0.67900
     3    169.815    169.676         0.68060
     4    160.580    160.022         0.85653
     5    154.368    153.884         0.62724
     6    150.499    150.239         0.48896
     7    141.944    141.609         1.20188
     8    124.127    123.755         0.54110
     9     85.576     85.190         1.23304
    10     80.335     79.992         1.29259
    11     72.559     72.302         1.28581
    12     70.927     70.540         1.37631
    13     63.753     63.237         1.33170
    14     21.056     20.952         1.12674
    15     20.894     20.790         1.29174
    16     20.709     20.582         1.30679
