   Current data set:
   NAME =	3_6-chloroaminopurine	EXPNO =	6	PROCNO = 1
   DU   =	/Users/lukas/Desktop/Studium/Chemie/OC/LAB/Spektren/Tri-Acetyl-Guanosine

   Number   Integrated Region     Integral
     1    173.359    172.783         0.39152
     2    160.838    160.105         0.29802
     3    154.813    154.289         0.19442
     4    150.412    149.627         0.11776
     5    141.925    141.401         0.30125
     6    124.217    123.746         0.13194
     7     87.597     87.020         0.40124
     8     86.182     85.710         0.41449
     9     74.447     73.556         0.44532
    10     70.884     70.570         0.43837
    11     61.821     61.506         0.35478
    12     49.168     48.931         0.86397
    13     46.053     45.688         2.46695
    14     22.232     21.910         0.75551
    15     10.912     10.547         2.42445
